SCHOOL_YEAR,LEVEL_CODE,DIV_NUMBER,DIV_NAME,SCH_NUMBER,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_GRADUATE_CNT,PS_CREDIT_DE_CNT,PS_UNKN_DE_CNT,PS_CREDIT_WO_DE_CNT,PS_UNKN_WO_DE_CNT
2007-2008,SCH,1,Accomack County,70,Nandua High,3,F,N,N,Y,12,7,0,7,0
2007-2008,SCH,1,Accomack County,70,Nandua High,5,F,N,N,N,15,11,0,11,0
2007-2008,SCH,1,Accomack County,70,Nandua High,5,M,N,N,N,10,7,0,6,0
2007-2008,SCH,2,Albemarle County,880,Albemarle High,5,F,N,N,N,78,65,1,65,1
2007-2008,SCH,2,Albemarle County,880,Albemarle High,5,M,N,N,N,56,46,0,46,0
2007-2008,SCH,2,Albemarle County,140,Western Albemarle High,5,F,N,N,N,55,49,0,48,0
2007-2008,SCH,2,Albemarle County,140,Western Albemarle High,5,M,N,N,N,40,32,0,32,0
2007-2008,SCH,2,Albemarle County,1052,Monticello High,5,F,N,N,N,48,35,1,35,0
2007-2008,SCH,2,Albemarle County,1052,Monticello High,5,M,N,N,N,28,20,0,20,0
2007-2008,SCH,3,Alleghany County,310,Alleghany High,5,F,N,N,N,25,15,0,14,0
2007-2008,SCH,3,Alleghany County,310,Alleghany High,5,M,N,N,N,33,24,0,23,0
2007-2008,SCH,4,Amelia County,10,Amelia County High,5,F,N,N,N,17,10,0,10,0
2007-2008,SCH,5,Amherst County,750,Amherst County High,5,F,N,N,N,42,25,0,25,0
2007-2008,SCH,5,Amherst County,750,Amherst County High,5,M,N,N,N,28,19,1,19,1
2007-2008,SCH,6,Appomattox County,260,Appomattox County High,5,F,N,N,N,28,14,0,13,0
2007-2008,SCH,6,Appomattox County,260,Appomattox County High,5,M,N,N,N,19,16,0,15,0
2007-2008,SCH,7,Arlington County,80,Washington-Lee High,4,F,N,N,N,10,7,1,7,1
2007-2008,SCH,7,Arlington County,80,Washington-Lee High,5,F,N,N,N,30,27,0,27,0
2007-2008,SCH,7,Arlington County,80,Washington-Lee High,5,M,N,N,N,19,12,1,12,1
2007-2008,SCH,7,Arlington County,330,Yorktown High,5,F,N,N,N,46,41,0,41,0
2007-2008,SCH,7,Arlington County,330,Yorktown High,5,M,N,N,N,56,53,0,53,0
2007-2008,SCH,8,Augusta County,730,Stuarts Draft High,5,F,N,N,N,29,17,1,17,1
2007-2008,SCH,8,Augusta County,730,Stuarts Draft High,5,M,N,N,N,16,9,0,9,0
2007-2008,SCH,8,Augusta County,660,Buffalo Gap High,5,F,N,N,N,11,5,0,5,0
2007-2008,SCH,8,Augusta County,660,Buffalo Gap High,5,M,N,N,N,16,10,0,10,0
2007-2008,SCH,8,Augusta County,670,Fort Defiance High,5,F,N,N,N,26,19,0,19,0
2007-2008,SCH,8,Augusta County,670,Fort Defiance High,5,M,N,N,N,26,18,0,18,0
2007-2008,SCH,8,Augusta County,680,Riverheads High,5,F,N,N,N,26,13,1,13,1
2007-2008,SCH,8,Augusta County,680,Riverheads High,5,M,N,N,N,12,5,0,5,0
2007-2008,SCH,8,Augusta County,720,Wilson Memorial High,5,F,N,N,N,19,11,1,10,0
2007-2008,SCH,8,Augusta County,720,Wilson Memorial High,5,M,N,N,N,14,8,0,8,0
