,county_name,HC01_VC03_Estimate; SEX AND AGE - Total population,HC01_VC23_Estimate; SEX AND AGE - Median age (years),HC03_VC04_Percent; SEX AND AGE - Total population - Male,HC03_VC05_Percent; SEX AND AGE - Total population - Female,HC03_VC11_Percent; SEX AND AGE - 15 to 19 years,HC03_VC88_Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),HC03_VC94_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,HC03_VC95_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,HC03_VC96_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,HC03_VC97_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,"HC03_VC108_Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population",target,grads, Bachelor's Starting Salary,Master's Starting Salary,HD01_VD01_Estimate; Total:,"HD01_VD02_Estimate; Total: - Less than $10,000","HD01_VD03_Estimate; Total: - $10,000 to $14,999","HD01_VD04_Estimate; Total: - $15,000 to $19,999","HD01_VD05_Estimate; Total: - $20,000 to $24,999","HD01_VD06_Estimate; Total: - $25,000 to $29,999","HD01_VD07_Estimate; Total: - $30,000 to $34,999","HD01_VD08_Estimate; Total: - $35,000 to $39,999","HD01_VD09_Estimate; Total: - $40,000 to $49,999","HD01_VD10_Estimate; Total: - $50,000 to $59,999","HD01_VD11_Estimate; Total: - $60,000 to $69,999","HD01_VD12_Estimate; Total: - $70,000 to $79,999","HD01_VD13_Estimate; Total: - $80,000 to $89,999","HD01_VD14_Estimate; Total: - $90,000 to $99,999","HD01_VD15_Estimate; Total: - $100,000 to $124,999","HD01_VD16_Estimate; Total: - $125,000 to $149,999","HD01_VD17_Estimate; Total: - $150,000 to $174,999","HD01_VD18_Estimate; Total: - $175,000 to $199,999","HD01_VD19_Estimate; Total: - $200,000 to $249,999","HD01_VD20_Estimate; Total: - $250,000 to $299,999","HD01_VD21_Estimate; Total: - $300,000 to $399,999","HD01_VD22_Estimate; Total: - $400,000 to $499,999","HD01_VD23_Estimate; Total: - $500,000 to $749,999","HD01_VD24_Estimate; Total: - $750,000 to $999,999","HD01_VD25_Estimate; Total: - $1,000,000 to $1,499,999","HD01_VD26_Estimate; Total: - $1,500,000 to $1,999,999","HD01_VD27_Estimate; Total: - $2,000,000 or more",Diabetes%,% Single-Parent Households,% Smokers,% Obese,Teen Birth Rate,Income Ratio,Violent Crime Rate
0,Accomack County,33115,45.3,48.7,51.3,5.6,8.8,60.9,28.6,0.4,0.1,24572,62.561151079136685,139,35580.0,38299.0,9919,0.03669724770642202,0.020566589373928825,0.011291460832745237,0.021070672446819236,0.0076620627079342675,0.02248210505091239,0.011392277447323318,0.033168666196189134,0.022179655207178142,0.03115233390462748,0.05282790603891521,0.03750378062304668,0.03437846557112612,0.08287125718318379,0.06069160197600565,0.10676479483818933,0.06694223207984676,0.11049500957757838,0.0920455691097893,0.07026918036092349,0.030849884060893236,0.02338945458211513,0.009476761770339752,0.0027220485936082267,0.0011089827603589072,0.0,12.7,40,21.0,35,60.0,5.4,188
1,Albemarle County,103108,38.6,47.9,52.1,9.1,5.7,77.4,9.3,0.2,4.4,76013,69.00637958532695,627,44820.0,47035.0,25281,0.018788813733633954,0.00533997864008544,0.006645306752106325,0.003401764170721095,0.00470709228274198,0.003045765594715399,0.0007911079466793244,0.003401764170721095,0.003401764170721095,0.0018591036746964124,0.003203987184051264,0.0029270994027135004,0.010838178869506745,0.026225228432419603,0.02594834065108184,0.05612910881689807,0.04813891855543689,0.12230528855662355,0.12918792769273368,0.17218464459475497,0.1062062418416993,0.1446145326529805,0.052490012262173175,0.031446540880503145,0.005142201653415609,0.01162928681618607,6.2,21,12.0,26,12.0,4.7,117
2,Alleghany County,16066,47.2,49.1,50.9,5.8,1.4,92.0,5.3,0.0,0.2,12728,75.0,122,37436.0,40436.0,5337,0.02304665542439573,0.002810567734682406,0.020798201236649803,0.0022484541877459247,0.006370620198613453,0.013865467491099868,0.015551808131909312,0.04009743301480232,0.060146149522203485,0.046842795578040095,0.05265130222971707,0.08131909312347761,0.06089563425145213,0.15270751358441073,0.08338017612891137,0.1111111111111111,0.04009743301480232,0.06839048154393854,0.04309537193179689,0.04759228030728874,0.01517706576728499,0.010867528574105303,0.0,0.0,0.000936855911560802,0.0,13.2,27,25.0,26,45.0,4.8,110
3,Amelia County,12777,45.8,50.8,49.2,6.2,1.0,72.3,24.3,0.4,0.1,10041,70.0,64,38760.0,41031.0,3824,0.019089958158995817,0.010198744769874478,0.007845188284518828,0.0,0.0,0.022751046025104603,0.0,0.013598326359832637,0.005230125523012552,0.024843096234309622,0.01856694560669456,0.056485355648535567,0.010721757322175732,0.14932008368200836,0.05726987447698745,0.125,0.059884937238493724,0.1419979079497908,0.1032949790794979,0.09178870292887029,0.043148535564853555,0.029288702928870293,0.003399581589958159,0.0041841004184100415,0.0,0.0020920502092050207,12.1,22,20.0,34,39.0,3.8,166
4,Amherst County,32148,43.6,48.1,51.9,7.4,2.1,75.6,18.4,0.3,0.7,25274,57.0,126,39000.0,41888.0,9534,0.020558002936857563,0.0118523180197189,0.009964338158170757,0.002936857562408223,0.0018879798615481435,0.0024124187119781834,0.0017830920914621356,0.017306482064191317,0.023494860499265784,0.024229074889867842,0.03199076987623243,0.05894692678833648,0.04982169079085379,0.11642542479546884,0.12565554856303754,0.13247325361862808,0.08904971680302076,0.09890916719110551,0.0684917138661632,0.048248374239563664,0.035452066289070695,0.016886930983847283,0.0062932662051604785,0.0022026431718061676,0.0,0.0027270820222362073,12.1,36,16.0,30,31.0,4.3,77
5,Appomattox County,15208,42.3,48.5,51.5,6.0,1.2,76.7,20.3,0.2,0.1,11825,64.0,87,39283.0,41383.0,4794,0.030037546933667083,0.02252816020025031,0.018564872757613683,0.007509386733416771,0.002920317062995411,0.011264080100125156,0.001668752607425949,0.020859407592824362,0.02065081351689612,0.03024614100959533,0.04943679599499374,0.054025865665415104,0.04755944931163955,0.10408844388819358,0.08468919482686692,0.10721735502711723,0.08677513558614935,0.12411347517730496,0.07259073842302878,0.0688360450563204,0.005632040050062578,0.01835627868168544,0.00458906967042136,0.00229453483521068,0.0035460992907801418,0.0,15.6,39,25.0,31,40.0,4.7,86
6,Arlington County,223945,33.9,50.0,50.0,3.5,15.5,63.0,8.3,0.3,9.9,159816,67.19210526315788,760,48228.0,53173.0,43697,0.006430647412865872,0.0004119275922832231,0.0006865459871387052,0.0012586676430876261,0.0018079044327985903,0.0008696249170423598,0.00013730919742774102,0.00048058219099709364,0.0018079044327985903,0.002860608279744605,0.0019223287639883746,0.0010298189807080578,0.0008009703183284894,0.007437581527335973,0.006361992814152001,0.01295283429068357,0.00876490376913747,0.025356431791656177,0.05119344577430945,0.11858937684509234,0.12202210678078587,0.29427649495388697,0.20841247682907293,0.09163100441677918,0.023983339817378768,0.008513170240519945,4.6,23,10.0,18,20.0,4.0,150
7,Augusta County,74053,44.2,50.6,49.4,6.1,2.4,91.8,4.0,0.2,0.6,58336,62.559036144578315,415,39400.0,41979.0,22341,0.03204869970010295,0.01047401638243588,0.020724228996016295,0.005550333467615595,0.0026856452262656104,0.002148516181012488,0.0028199274875788907,0.00613222326663981,0.010250212613580412,0.0103397341211226,0.010160691106038226,0.016158632111364757,0.01736717246318428,0.06329170583232621,0.06866299628485743,0.126851976187279,0.10505348910075646,0.16042254151559912,0.1019202363367799,0.1255091535741462,0.03921042030347791,0.042970323620249766,0.008280739447652298,0.0056398549751577815,0.0027304059800367037,0.0025961237187234233,14.8,25,18.0,28,31.0,3.6,111
8,Bath County,4583,48.3,48.7,51.3,5.4,3.5,91.2,3.4,0.0,0.0,3557,81.0,26,34781.0,37781.0,1495,0.06688963210702341,0.042140468227424746,0.0,0.012709030100334449,0.0,0.0,0.016053511705685617,0.013377926421404682,0.0,0.04280936454849498,0.09498327759197324,0.044816053511705686,0.06220735785953177,0.04548494983277592,0.04013377926421405,0.12374581939799331,0.1157190635451505,0.049498327759197325,0.08093645484949832,0.03277591973244147,0.0,0.06555183946488294,0.031438127090301006,0.010702341137123745,0.008026755852842809,0.0,3.8,37,,30,18.0,3.8,35
9,Bedford County,76463,45.3,49.1,50.9,6.3,1.9,88.4,7.1,0.1,1.2,59639,62.91923990498812,421,39227.0,41188.0,24850,0.03167002012072435,0.005754527162977867,0.008249496981891348,0.008450704225352112,0.0030181086519114686,0.005553319919517102,0.003903420523138833,0.00869215291750503,0.010824949698189135,0.01851106639839034,0.02386317907444668,0.02317907444668008,0.028611670020120723,0.060925553319919515,0.08189134808853119,0.1006841046277666,0.08865191146881288,0.1482897384305835,0.10832997987927566,0.12551307847082496,0.03835010060362173,0.043219315895372236,0.01420523138832998,0.006036217303822937,0.0027364185110663984,0.0008853118712273642,12.8,24,19.0,27,24.0,3.9,160
