,county_name,target,grads
0,Accomack County,62.561151079136685,139
1,Albemarle County,69.00637958532695,627
2,Alexandria City,56.0,391
3,Alleghany County,75.0,122
4,Amelia County,70.0,64
5,Amherst County,57.0,126
6,Appomattox County,64.0,87
7,Arlington County,67.19210526315788,760
8,Augusta County,62.559036144578315,415
9,Bath County,81.0,26
10,Bedford County,62.91923990498812,421
11,Bland County,71.0,49
12,Botetourt County,76.20912547528516,263
13,Bristol City,54.0,61
14,Brunswick County,53.0,57
15,Buchanan County,59.194630872483216,149
16,Buckingham County,63.0,80
17,Buena Vista City,57.0,37
18,Campbell County,62.137724550898206,334
19,Caroline County,64.0,70
20,Carroll County,75.0,135
21,Charles City County,54.0,24
22,Charlotte County,66.0,96
23,Charlottesville City,63.0,141
24,Chesapeake City,60.82727272727273,1870
25,Chesterfield County,67.10086890819795,2647
26,Clarke County,64.0,101
27,Colonial Beach,79.0,19
28,Colonial Heights City,66.0,118
29,Covington City,62.0,26
30,Craig County,69.0,26
31,Culpeper County,58.11290322580645,248
32,Cumberland County,66.0,58
33,Danville City,57.16417910447761,201
34,Department of Juvenile Justice,7.0,15
35,Dickenson County,65.69811320754717,53
36,Dinwiddie County,61.0,139
37,Essex County,68.0,53
38,Fairfax County,70.91790778029308,8393
39,Falls Church City,75.0,84
40,Fauquier County,68.66296296296296,540
41,Floyd County,64.0,75
42,Fluvanna County,61.0,161
43,Franklin City,71.0,34
44,Franklin County,71.0,281
45,Frederick County,60.34357005758157,521
46,Fredericksburg City,58.0,105
47,Galax City,65.0,65
48,Giles County,61.6605504587156,109
49,Gloucester County,61.0,187
50,Goochland County,64.0,102
51,Grayson County,66.0,74
52,Greene County,63.0,131
53,Greensville County,79.0,77
54,Halifax County,76.0,181
55,Hampton City,57.21503496503497,572
56,Hanover County,69.79447513812156,905
57,Harrisonburg City,57.0,174
58,Henrico County,70.6170094496943,1799
59,Henry County,64.80701754385964,285
60,Hopewell City,41.0,106
61,Isle of Wight County,60.116279069767444,215
62,King George County,72.0,163
63,King William County,71.0,84
64,King and Queen County,33.0,15
65,Lancaster County,82.0,38
66,Lee County,44.42352941176471,85
67,Loudoun County,71.26434231378764,3155
68,Louisa County,66.0,159
69,Lunenburg County,71.0,52
70,Lynchburg City,56.98540145985401,274
71,Madison County,67.0,79
72,Manassas City,50.0,231
73,Manassas Park City,44.0,98
74,Martinsville City,66.0,77
75,Mathews County,63.0,59
76,Mecklenburg County,75.2093023255814,172
77,Middlesex County,45.0,47
78,Montgomery County,69.05882352941177,425
79,Nelson County,52.0,67
80,New Kent County,67.0,123
81,Newport News City,57.74236874236874,819
82,Norfolk City,51.115921787709496,716
83,Northampton County,58.0,36
84,Northumberland County,58.0,48
85,Norton City,66.0,35
86,Nottoway County,68.0,72
87,Orange County,48.0,151
88,Page County,71.36607142857143,112
89,Patrick County,68.0,94
90,Petersburg City,54.0,65
91,Pittsylvania County,68.63106796116504,412
92,Poquoson City,68.0,126
93,Portsmouth City,48.992248062015506,387
94,Powhatan County,64.0,207
95,Prince Edward County,48.0,84
96,Prince George County,68.0,203
97,Prince William County,60.201950659781986,3486
98,Pulaski County,62.0,155
99,Radford City,72.0,81
100,Rappahannock County,80.0,25
101,Richmond City,48.59665871121719,419
102,Richmond County,55.0,44
103,Roanoke City,55.214076246334315,341
104,Roanoke County,68.34957020057307,698
105,Rockbridge County,68.0,114
106,Rockingham County,60.615925058548015,427
107,Russell County,54.6547619047619,168
108,Salem City,76.0,217
109,Scott County,75.83333333333333,114
110,Shenandoah County,58.53636363636364,220
111,Smyth County,64.24074074074073,162
112,Southampton County,61.0,104
113,Spotsylvania County,60.30010834236186,923
114,Stafford County,62.78030919446705,1229
115,Staunton City,61.0,74
116,Suffolk City,62.04979253112033,482
117,Surry County,60.0,42
118,Sussex County,52.0,27
119,Tazewell County,55.08823529411765,204
120,Virginia Beach City,61.08697183098592,2840
121,Warren County,60.49230769230769,195
122,Washington County,59.057142857142864,280
123,Waynesboro City,60.0,98
124,West Point,80.0,44
125,Westmoreland County,51.0,41
126,Williamsburg-James City County,65.37473233404711,467
127,Winchester City,68.0,149
128,Wise County,53.629955947136565,227
129,Wythe County,56.156565656565654,198
130,York County,68.45927209705373,577
