GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
0500000US51001,51001,"Accomack County, Virginia",9919,477,364,147,204,142,112,60,209,102,76,54,223,122,113,92,329,128,220,93,309,111,524,148,372,110,341,119,822,202,602,155,1059,202,664,167,1096,163,913,176,697,138,306,96,232,96,94,60,27,28,11,18,0,25
0500000US51003,51003,"Albemarle County, Virginia",25281,668,475,148,135,80,168,90,86,53,119,80,77,62,20,23,86,81,86,70,47,39,81,40,74,43,274,120,663,157,656,159,1419,229,1217,250,3092,353,3266,309,4353,372,2685,281,3656,348,1327,186,795,172,130,58,294,82
0500000US51005,51005,"Alleghany County, Virginia",5337,216,123,63,15,16,111,66,12,18,34,21,74,34,83,40,214,76,321,94,250,70,281,87,434,103,325,82,815,165,445,99,593,112,214,60,365,91,230,78,254,82,81,43,58,53,0,19,0,19,5,10,0,19
0500000US51007,51007,"Amelia County, Virginia",3824,291,73,60,39,44,30,34,0,19,0,19,87,63,0,19,52,37,20,27,95,62,71,45,216,127,41,35,571,202,219,94,478,148,229,95,543,184,395,133,351,143,165,84,112,79,13,24,16,27,0,19,8,15
0500000US51009,51009,"Amherst County, Virginia",9534,294,196,79,113,55,95,44,28,27,18,23,23,19,17,21,165,70,224,81,231,85,305,101,562,137,475,114,1110,181,1198,199,1263,158,849,142,943,164,653,156,460,110,338,115,161,64,60,54,21,22,0,25,26,34
0500000US51011,51011,"Appomattox County, Virginia",4794,211,144,59,108,53,89,79,36,23,14,17,54,45,8,12,100,49,99,51,145,50,237,99,259,111,228,76,499,130,406,98,514,116,416,119,595,138,348,110,330,107,27,28,88,41,22,26,11,17,17,19,0,19
0500000US51013,51013,"Arlington County, Virginia",43697,962,281,102,18,23,30,47,55,44,79,62,38,40,6,10,21,18,79,54,125,70,84,73,45,30,35,29,325,128,278,138,566,130,383,138,1108,207,2237,255,5182,485,5332,410,12859,661,9107,442,4004,362,1048,184,372,110
0500000US51015,51015,"Augusta County, Virginia",22341,593,716,192,234,97,463,156,124,81,60,62,48,54,63,45,137,89,229,76,231,95,227,91,361,112,388,109,1414,229,1534,269,2834,375,2347,342,3584,419,2277,319,2804,334,876,183,960,217,185,103,126,84,61,51,58,60
0500000US51017,51017,"Bath County, Virginia",1495,186,100,90,63,56,0,12,19,30,0,12,0,12,24,40,20,32,0,12,64,78,142,101,67,65,93,104,68,66,60,52,185,101,173,116,74,79,121,84,49,48,0,12,98,74,47,46,16,25,12,19,0,12
0500000US51019,51019,"Bedford County, Virginia",24850,483,787,197,143,66,205,76,210,81,75,52,138,82,97,79,216,117,269,109,460,138,593,161,576,137,711,158,1514,235,2035,303,2502,280,2203,264,3685,323,2692,283,3119,395,953,171,1074,203,353,133,150,66,68,45,22,20
0500000US51021,51021,"Bland County, Virginia",2089,214,47,33,28,25,54,35,39,30,22,31,110,60,60,48,70,50,78,57,74,56,93,52,253,98,113,52,275,80,139,60,114,56,112,56,108,48,92,66,114,65,31,28,11,19,20,23,32,28,0,17,0,17
0500000US51023,51023,"Botetourt County, Virginia",11314,290,273,112,36,25,56,29,75,53,15,15,25,30,45,48,73,44,39,37,148,59,161,80,219,73,352,139,829,162,872,179,1143,217,1000,210,1740,224,1451,244,1331,218,663,171,589,185,93,61,62,42,0,25,24,26
0500000US51025,51025,"Brunswick County, Virginia",4319,278,205,81,36,34,33,36,128,74,16,19,105,60,23,19,102,55,343,117,203,70,327,102,364,114,130,60,698,163,351,125,267,96,104,54,331,119,134,66,260,94,19,19,60,43,36,24,15,22,29,28,0,19
0500000US51027,51027,"Buchanan County, Virginia",7449,259,598,163,230,92,117,64,264,96,309,110,293,86,138,64,702,154,481,118,482,141,736,178,608,152,240,80,584,158,320,107,265,79,169,96,306,116,99,50,337,104,22,20,93,43,0,22,11,12,16,27,29,39
0500000US51029,51029,"Buckingham County, Virginia",4347,253,224,98,80,47,46,40,79,55,37,29,1,4,86,65,116,53,123,59,213,90,144,59,233,84,135,71,565,129,334,104,518,128,324,103,521,120,218,71,219,84,39,26,49,39,26,26,17,25,0,19,0,19
