Division Name, Bachelor's Starting Salary,Master's Starting Salary,Doctorate Starting Salary
Accomack County Public Schools,"35,580","38,299","36,666"
Albemarle County Public Schools,"44,820","47,035","49,149"
Alleghany County Public Schools,"37,436","40,436","41,436"
Amelia County Public Schools,"38,760","41,031","41,760"
Amherst County Public Schools,"39,000","41,888","43,205"
Appomattox County Public Schools,"39,283","41,383","42,583"
Arlington County Public Schools,"48,228","53,173","58,622"
Augusta County Public Schools,"39,400","41,979","44,558"
Bath County Public Schools,"34,781","37,781","39,281"
Bedford County Public Schools,"39,227","41,188","43,150"
Bland County Public Schools,"33,510","34,950","35,733"
Botetourt County Public Schools,"38,350","41,350","42,850"
Brunswick County Public Schools,"37,132","39,864","42,594"
Buchanan County Public Schools,"30,500","32,800","33,800"
Buckingham County Public Schools,"41,156","43,198","45,240"
Campbell County Public Schools,"37,664","39,702","39,702"
Caroline County Public Schools,"39,700","40,950","42,000"
Carroll County Public Schools,"36,890","39,368","42,149"
Charles City County Public Schools,"37,425","39,143","39,985"
Charlotte County Public Schools,"38,500","46,564",N/A
Chesterfield County Public Schools,"42,734","44,871","47,114"
Clarke County Public Schools,"40,200","44,450",N/A
Craig County Public Schools,"31,794","33,294","34,794"
Culpeper County Public Schools,"39,000","41,000","43,500"
Cumberland County Public Schools,"37,225","39,225","40,725"
Dickenson County Public Schools,"34,483","35,919","37,355"
Dinwiddie County Public Schools,"40,920","42,821","43,877"
Essex County Public Schools,"39,450","41,450","41,450"
Fairfax County Public Schools,"47,046","52,856","56,512"
Fauquier County Public Schools,"42,315","44,431","45,489"
Floyd County Public Schools,"37,813","40,927","47,313"
Fluvanna County Public Schools,"42,000","46,200","46,300"
Franklin County Public Schools,"36,662","39,162","39,162"
Frederick County Public Schools,"40,500","44,528","46,728"
Giles County Public Schools,"34,237","36,237","37,237"
Gloucester County Public Schools,"39,108","43,068","47,027"
Goochland County Public Schools,"42,850","44,778","45,850"
Grayson County Public Schools,"33,912","35,916","37,916"
Greene County Public Schools,"42,220","44,220","46,520"
Greensville County Public Schools,"39,896","41,996","42,521"
Halifax County Public Schools,"38,085","40,271","42,457"
Hanover County Public Schools,"42,462","45,010","46,284"
Henrico County Public Schools,"42,561","44,604","44,604"
Henry County Public Schools,"39,492","41,592","42,592"
Highland County Public Schools,"36,640","39,640",N/A
Isle of Wight County Public Schools,"38,357","41,107","43,607"
King George County Public Schools,"37,087","39,683","41,383"
King and Queen County Public Schools,"38,650","40,750","41,410"
King William County Public Schools,"42,745","44,865","46,985"
Lancaster County Public Schools,"36,753","38,853","39,903"
Lee County Public Schools,"35,250","36,500","38,500"
Loudoun County Public Schools,"47,975","53,688","59,400"
Louisa County Public Schools,"42,424","44,173","45,546"
Lunenburg County Public Schools,"37,037","39,237","39,837"
Madison County Public Schools,"40,000","42,600","42,600"
Mathews County Public Schools,"38,887","41,387","43,387"
Mecklenburg County Public Schools,"36,073","38,473","40,073"
Middlesex County Public Schools,"38,168","40,168","41,168"
Montgomery County Public Schools,"37,011","39,111","40,161"
Nelson County Public Schools,"44,290","46,865","46,865"
New Kent County Public Schools,"37,706","40,307","41,603"
Northampton County Public Schools,"35,346","37,468","39,716"
Northumberland County Public Schools,"37,920","39,920","41,920"
Nottoway County Public Schools,"39,308","41,508","42,208"
Orange County Public Schools,"39,050","41,750","43,712"
Page County Public Schools,"39,672","42,712","45,619"
Patrick County Public Schools,"36,256","38,487","40,535"
Pittsylvania County Public Schools,"38,403","40,276","41,213"
Powhatan County Public Schools,"42,000","44,100","46,758"
Prince Edward County Public Schools,"38,623","40,783","42,431"
Prince George County Public Schools,"41,903","43,903","46,803"
Prince William County Public Schools,"46,458","52,031","55,306"
Pulaski County Public Schools,"37,673","39,871","42,620"
Rappahannock County Public Schools,"40,542","41,485","41,485"
Richmond County Public Schools,"38,610","40,710","40,710"
Roanoke County Public Schools,"36,000","37,605","39,210"
Rockbridge County Public Schools,"37,957","40,272","41,757"
Rockingham County Public Schools,"41,700","44,185","45,710"
Russell County Public Schools,"31,000","33,000","35,000"
Scott County Public Schools,"37,285","39,345","39,345"
Shenandoah County Public Schools,"40,250","43,421","46,592"
Smyth County Public Schools,"31,500","34,140","36,991"
Southampton County Public Schools,"39,000","41,000","43,000"
Spotsylvania County Public Schools,"40,402","43,230","45,654"
Stafford County Public Schools,"40,000","44,251","45,658"
Surry County Public Schools,"45,598","48,098","48,598"
Sussex County Public Schools,"40,531","42,756","44,981"
Tazewell County Public Schools,"35,969","37,758","39,288"
Warren County Public Schools,"40,655","42,860","44,855"
Washington County Public Schools,"35,839","37,924","39,934"
Westmoreland County Public Schools,"38,000","41,150","41,150"
Wise County Public Schools,"34,660","37,660","38,660"
Wythe County Public Schools,"38,100","40,376","43,455"
York County Public Schools,"42,261","45,085","48,712"
Alexandria City Public Schools,"47,248","54,188","56,501"
Bristol City Public Schools,"35,193","37,193","37,693"
Buena Vista City Public Schools,"30,407","34,407","35,407"
Charlottesville City Public Schools,"44,491","46,607","48,722"
Colonial Heights City Public Schools,"41,010","42,510","43,260"
Covington City Public Schools,"38,093","41,138",N/A
Danville City Public Schools,"38,000","40,625","42,200"
Falls Church City Public Schools,"49,350","54,750","58,800"
Fredericksburg City Public Schools,"41,400","44,150","46,050"
Galax City Public Schools,"37,750","41,010","41,550"
Hampton City Public Schools,"40,500","43,100","45,100"
Harrisonburg City Public Schools,"42,202","45,957","47,017"
Hopewell City Public Schools,"40,998","43,648","43,948"
Lynchburg City Public Schools,"38,760","42,020","43,804"
Martinsville City Public Schools,"39,315","42,102","42,903"
Newport News City Public Schools,"41,500","44,405","47,568"
Norfolk City Public Schools,"42,558","45,956","50,092"
Norton City Public Schools,"32,620","34,670","36,120"
Petersburg City Public Schools,"41,840","43,040","43,740"
Portsmouth City Public Schools,"42,977","45,477","49,977"
Radford City Public Schools,"38,005","41,492","44,072"
Richmond City Public Schools,"44,525","46,751","50,290"
Roanoke City Public Schools,"39,287","41,419","43,556"
Staunton City Public Schools,"40,389","42,408",N/A
Suffolk City Public Schools,"39,290","42,175","44,441"
Virginia Beach City Public Schools,"42,810","45,310","46,910"
Waynesboro City Public Schools,"39,309","41,952","44,069"
Williamsburg-James City County Public Schools,"40,301","41,929","45,806"
Winchester City Public Schools,"40,500","44,730","48,960"
Franklin City Public Schools,"38,934","40,934","42,434"
Chesapeake City Public Schools,"41,560","44,760","47,960"
Lexington City Public Schools,"35,572","39,022",N/A
Salem City Public Schools,"42,000","45,776","47,597"
Poquoson City Public Schools,"38,931","41,656","44,381"
Manassas City Public Schools,"46,078","51,578","53,678"
Manassas Park City Public Schools,"44,750","50,750","57,750"
Colonial Beach Public Schools,"39,975","42,479","45,110"
West Point Public Schools,"44,340","46,340","46,340"
